x,y,z
9277.47,4.71026e+39,0.41485
9281.02,4.70451e+39,0.415234
9283.21,4.70058e+39,0.415451
9283.79,4.69951e+39,0.415504
9283.93,4.69923e+39,0.415518
9284.17,4.69878e+39,0.41554
9284.46,4.69823e+39,0.415566
9284.75,4.69767e+39,0.415591
9284.99,4.6972e+39,0.415612
9285.13,4.69691e+39,0.415625
9285.67,4.69584e+39,0.415672
9287.72,4.69161e+39,0.41584
9291.03,4.68424e+39,0.416088
9295.03,4.67451e+39,0.416362
9299.03,4.66392e+39,0.416624
9302.34,4.65456e+39,0.416845
9304.39,4.64851e+39,0.416988
9305.43,4.64537e+39,0.417064
9307.62,4.63858e+39,0.417231
9311.17,4.62718e+39,0.417517
9315.47,4.61277e+39,0.417884
9319.76,4.59772e+39,0.418263
9323.31,4.58485e+39,0.418578
9325.5,4.57671e+39,0.418771
9326.58,4.57268e+39,0.418865
9328.77,4.56438e+39,0.419054
9332.32,4.55073e+39,0.419355
9336.61,4.53392e+39,0.41972
9340.9,4.51684e+39,0.420093
9344.45,4.50256e+39,0.420416
9346.64,4.49368e+39,0.420623
9347.72,4.48932e+39,0.420728
9349.91,4.4804e+39,0.420948
9353.46,4.46596e+39,0.421317
9357.76,4.44851e+39,0.421782
9362.05,4.43116e+39,0.422261
9365.6,4.41693e+39,0.422662
9367.79,4.40821e+39,0.42291
9368.87,4.40395e+39,0.423031
9371.06,4.39534e+39,0.423276
9374.61,4.38158e+39,0.42366
9378.9,4.3653e+39,0.424084
9383.19,4.34947e+39,0.424442
9386.74,4.33677e+39,0.42467
9388.93,4.32912e+39,0.424773
9390.01,4.32542e+39,0.424811
9392.2,4.31801e+39,0.424865
9395.75,4.3064e+39,0.424877
9400.05,4.29304e+39,0.424761
9404.34,4.28049e+39,0.424496
9407.89,4.27078e+39,0.424157
9410.08,4.2651e+39,0.42389
9411.13,4.26246e+39,0.423747
9413.23,4.2574e+39,0.423433
9416.62,4.24973e+39,0.422855
9420.72,4.24137e+39,0.422069
9424.82,4.23408e+39,0.421226
9428.21,4.22889e+39,0.420514
9430.31,4.22609e+39,0.420079
9430.84,4.22542e+39,0.419968
9430.94,4.2253e+39,0.419948
9431.1,4.22511e+39,0.419916
9431.29,4.22488e+39,0.419877
9431.48,4.22466e+39,0.419838
9431.64,4.22447e+39,0.419806
9431.74,4.22436e+39,0.419786
9432.3,4.22372e+39,0.419673
9434.49,4.22143e+39,0.419241
9438.04,4.21844e+39,0.418582
9442.33,4.21593e+39,0.417865
9446.63,4.21459e+39,0.417257
9450.18,4.21431e+39,0.41685
9452.37,4.2145e+39,0.416648
9453.45,4.21469e+39,0.416564
9455.64,4.21526e+39,0.416424
9459.19,4.21671e+39,0.416293
9463.48,4.21929e+39,0.416306
9467.77,4.22271e+39,0.41652
9471.32,4.22612e+39,0.416863
9473.51,4.22847e+39,0.417155
9474.59,4.22969e+39,0.417321
9476.78,4.23231e+39,0.417705
9480.33,4.23689e+39,0.418433
9484.62,4.24296e+39,0.41944
9488.92,4.24953e+39,0.42052
9492.47,4.25532e+39,0.421419
9494.66,4.25903e+39,0.421958
9495.74,4.26088e+39,0.422215
9497.93,4.26473e+39,0.422718
9501.48,4.27111e+39,0.423473
9505.77,4.27907e+39,0.424281
9510.06,4.28721e+39,0.424966
9513.61,4.29403e+39,0.425431
9515.8,4.29828e+39,0.425671
9516.88,4.30037e+39,0.425775
9519.07,4.30463e+39,0.425957
9522.62,4.31151e+39,0.426167
9526.91,4.31975e+39,0.426276
9531.2,4.32786e+39,0.426221
9534.75,4.33442e+39,0.426047
9536.94,4.3384e+39,0.42588
9538.02,4.34032e+39,0.42578
9540.21,4.34418e+39,0.425546
9543.76,4.35022e+39,0.425092
9548.06,4.35717e+39,0.424468
9552.35,4.36366e+39,0.423822
9555.9,4.36864e+39,0.423316
9558.09,4.37152e+39,0.423033
9559.08,4.37277e+39,0.422915
9560.94,4.37501e+39,0.422715
9563.93,4.37838e+39,0.42244
9567.55,4.38199e+39,0.42218
9571.17,4.38507e+39,0.421992
9574.16,4.38717e+39,0.421884
9576.02,4.38827e+39,0.421835
9576.55,4.38855e+39,0.421823
9576.9,4.38873e+39,0.421816
9577.45,4.389e+39,0.421806
9578.12,4.38931e+39,0.421794
9578.79,4.3896e+39,0.421785
9579.34,4.38982e+39,0.421777
9579.69,4.38995e+39,0.421774
9580.31,4.39017e+39,0.421767
9582.5,4.39081e+39,0.421754
9586.05,4.39139e+39,0.421761
9590.35,4.39136e+39,0.421815
9594.64,4.39056e+39,0.421918
9598.19,4.38935e+39,0.422041
9600.38,4.38837e+39,0.422132
9601.46,4.38782e+39,0.422182
9603.65,4.38658e+39,0.42229
9607.2,4.38422e+39,0.422481
9611.49,4.38083e+39,0.422715
9615.78,4.37687e+39,0.422929
9619.33,4.37319e+39,0.423072
9621.52,4.37076e+39,0.423137
9622.6,4.36952e+39,0.423161
9624.79,4.36689e+39,0.423194
9628.34,4.36242e+39,0.423206
9632.63,4.35664e+39,0.423166
9636.93,4.3505e+39,0.423084
9640.48,4.34517e+39,0.422996
9642.67,4.34178e+39,0.422939
9643.75,4.34009e+39,0.42291
9645.94,4.3366e+39,0.422854
9649.49,4.33082e+39,0.422769
9653.78,4.32365e+39,0.422689
9658.07,4.31632e+39,0.422646
9661.62,4.31016e+39,0.422649
9663.81,4.30632e+39,0.422672
9664.89,4.30443e+39,0.42269
9667.08,4.30057e+39,0.422741
9670.63,4.2943e+39,0.422864
9674.92,4.28671e+39,0.423079
9679.22,4.27917e+39,0.423368
9682.77,4.27299e+39,0.423665
9684.96,4.2692e+39,0.423874
9686.04,4.26736e+39,0.423984
9688.23,4.26363e+39,0.424222
9691.78,4.25768e+39,0.424643
9696.07,4.25068e+39,0.425202
9700.36,4.24392e+39,0.425802
9703.91,4.23853e+39,0.42632
9706.1,4.23531e+39,0.426646
9707.03,4.23396e+39,0.426786
9708.64,4.23168e+39,0.427026
9711.24,4.2281e+39,0.427413
9714.38,4.22396e+39,0.427869
9717.52,4.22004e+39,0.428303
9720.12,4.21697e+39,0.428637
9721.73,4.21516e+39,0.428831
9722.26,4.21457e+39,0.428893
9722.85,4.21394e+39,0.428959
9723.8,4.21292e+39,0.429062
9724.95,4.21173e+39,0.42918
9726.1,4.21057e+39,0.429291
9727.05,4.20964e+39,0.429376
9727.64,4.20907e+39,0.429426
9728.32,4.20843e+39,0.429481
9730.51,4.20642e+39,0.429638
9734.06,4.20342e+39,0.429836
9738.35,4.20018e+39,0.430007
9742.65,4.19732e+39,0.430134
9746.2,4.19524e+39,0.430229
9748.39,4.19408e+39,0.430292
9749.47,4.19354e+39,0.430325
9751.66,4.1925e+39,0.430401
9755.21,4.19101e+39,0.43055
9759.5,4.18947e+39,0.43078
9763.79,4.1882e+39,0.431078
9767.34,4.18735e+39,0.431385
9769.53,4.1869e+39,0.431606
9770.61,4.1867e+39,0.431724
9772.8,4.18634e+39,0.431983
9776.35,4.18586e+39,0.432463
9780.65,4.18544e+39,0.433149
9784.94,4.18519e+39,0.433961
9788.49,4.18508e+39,0.434735
9790.68,4.18505e+39,0.435263
9791.76,4.18505e+39,0.435537
9793.95,4.18506e+39,0.436121
9797.5,4.18512e+39,0.437129
9801.79,4.18525e+39,0.438411
9806.08,4.18543e+39,0.439712
9809.63,4.18558e+39,0.440764
9811.82,4.18568e+39,0.44139
9812.9,4.18572e+39,0.441687
9815.09,4.18581e+39,0.442271
9818.64,4.18594e+39,0.443157
9822.94,4.18604e+39,0.44414
9827.23,4.18606e+39,0.445034
9830.78,4.186e+39,0.445716
9832.97,4.18592e+39,0.446113
9834.05,4.18587e+39,0.446302
9836.24,4.18574e+39,0.446675
9839.79,4.18545e+39,0.447238
9844.08,4.18493e+39,0.447842
9848.37,4.18422e+39,0.448348
9851.92,4.18347e+39,0.448683
9854.11,4.18293e+39,0.448848
9854.98,4.18269e+39,0.448904
9856.35,4.1823e+39,0.44898
9858.55,4.18162e+39,0.449078
9861.21,4.1807e+39,0.449158
9863.87,4.17966e+39,0.4492
9866.07,4.17871e+39,0.449211
9867.44,4.17809e+39,0.449209
9867.97,4.17783e+39,0.449206
9868.81,4.17742e+39,0.4492
9870.16,4.17674e+39,0.449186
9871.78,4.17587e+39,0.449164
9873.41,4.17495e+39,0.449136
9874.76,4.17416e+39,0.44911
9875.6,4.17366e+39,0.449093
9876.34,4.1732e+39,0.449077
9878.53,4.17178e+39,0.449029
9882.08,4.16932e+39,0.448945
9886.37,4.16608e+39,0.448835
9890.66,4.16255e+39,0.448719
9894.21,4.15941e+39,0.448621
9896.4,4.15737e+39,0.44856
9897.48,4.15635e+39,0.44853
9899.67,4.15421e+39,0.448469
9903.22,4.1506e+39,0.448369
9907.51,4.146e+39,0.448242
9911.8,4.14115e+39,0.448104
9915.35,4.13695e+39,0.447978
9917.54,4.13427e+39,0.447893
9918.62,4.13294e+39,0.447849
9920.81,4.13017e+39,0.447755
9924.36,4.12557e+39,0.44758
9928.65,4.11981e+39,0.447319
9932.95,4.11384e+39,0.446983
9936.5,4.10874e+39,0.446634
9938.69,4.10552e+39,0.446381
9939.77,4.10393e+39,0.446245
9941.96,4.10064e+39,0.445945
9945.51,4.09522e+39,0.445406
9949.8,4.0885e+39,0.444693
9954.09,4.08161e+39,0.443948
9957.64,4.07578e+39,0.443334
9959.83,4.07213e+39,0.442967
9960.91,4.07032e+39,0.442791
9963.1,4.06661e+39,0.442446
9966.65,4.06052e+39,0.441925
9970.94,4.05304e+39,0.441359
9975.24,4.04543e+39,0.440871
9978.79,4.03903e+39,0.440529
9980.98,4.03504e+39,0.440348
9982.06,4.03308e+39,0.440268
9984.25,4.02904e+39,0.440122
9987.8,4.02246e+39,0.439941
9992.09,4.01442e+39,0.439818
9996.38,4.00629e+39,0.439807
9999.93,3.9995e+39,0.439888
10002.1,3.99527e+39,0.439981
10002.9,3.99371e+39,0.440025
10004,3.99155e+39,0.440092
10005.9,3.98805e+39,0.440216
10008,3.98381e+39,0.440391
10010.2,3.97955e+39,0.440586
10012,3.97602e+39,0.440759
10013.1,3.97383e+39,0.440869
10013.7,3.97277e+39,0.440923
10014.7,3.97064e+39,0.441033
10016.5,3.9672e+39,0.441212
10018.6,3.96302e+39,0.441428
10020.7,3.95884e+39,0.441638
10022.5,3.95537e+39,0.441803
10023.5,3.95323e+39,0.4419
10024.3,3.95163e+39,0.44197
10026.5,3.94727e+39,0.442145
10030.1,3.94021e+39,0.442376
10034.4,3.93167e+39,0.442554
10038.7,3.92314e+39,0.442599
10042.2,3.9161e+39,0.442519
10044.4,3.91176e+39,0.442409
10045.5,3.90963e+39,0.442338
10047.7,3.9053e+39,0.442154
10051.2,3.89832e+39,0.44175
10055.5,3.88994e+39,0.441083
10059.8,3.88162e+39,0.440218
10063.4,3.8748e+39,0.43935
10065.6,3.87061e+39,0.438744
10066.6,3.86856e+39,0.438428
10068.8,3.86441e+39,0.437746
10072.4,3.85776e+39,0.436562
10076.7,3.84982e+39,0.435053
10081,3.84201e+39,0.433534
10084.5,3.83564e+39,0.432326
10086.7,3.83176e+39,0.431622
10087.8,3.82987e+39,0.431293
10090,3.82604e+39,0.430657
10093.5,3.81995e+39,0.429728
10097.8,3.81273e+39,0.428767
10102.1,3.8057e+39,0.427978
10105.7,3.80003e+39,0.427452
10107.9,3.7966e+39,0.427183
10108.9,3.79493e+39,0.427066
10111.1,3.79158e+39,0.42686
10114.7,3.78628e+39,0.426625
10119,3.78009e+39,0.42652
10123.2,3.77413e+39,0.426634
10126.8,3.7694e+39,0.42691
10129,3.76656e+39,0.42717
10130.1,3.76519e+39,0.427324
10132.3,3.76246e+39,0.427688
10135.8,3.7582e+39,0.428408
10140.1,3.7533e+39,0.429449
10144.4,3.74871e+39,0.430622
10147.9,3.74514e+39,0.43165
10150.1,3.74305e+39,0.432296
10150.9,3.74235e+39,0.432517
10151.8,3.74155e+39,0.432774
10153.2,3.74029e+39,0.433187
10154.9,3.7388e+39,0.433679
10156.6,3.73738e+39,0.434161
10158,3.73624e+39,0.434549
10158.9,3.73556e+39,0.434783
10159.4,3.73514e+39,0.434925
10160.7,3.73415e+39,0.435264
10162.9,3.73261e+39,0.435783
10165.5,3.73087e+39,0.436355
10168,3.72924e+39,0.436855
10170.2,3.72799e+39,0.437205
10171.5,3.72725e+39,0.43739
10172.4,3.72678e+39,0.437497
10174.6,3.72565e+39,0.437718
10178.1,3.72398e+39,0.437921
10182.4,3.72223e+39,0.437912
10186.7,3.72074e+39,0.437627
10190.2,3.71971e+39,0.437182
10192.4,3.71915e+39,0.436813
10193.5,3.7189e+39,0.436606
10195.7,3.71844e+39,0.436133
10199.2,3.71781e+39,0.435249
10203.5,3.71724e+39,0.43404
10207.8,3.71687e+39,0.432755
10211.4,3.7167e+39,0.43169
10213.6,3.71666e+39,0.431053
10214.6,3.71665e+39,0.43075
10216.8,3.71667e+39,0.430158
10220.4,3.71677e+39,0.429284
10224.7,3.71703e+39,0.428391
10229,3.71741e+39,0.427715
10232.5,3.71781e+39,0.427349
10234.7,3.71808e+39,0.42722
10235.8,3.71823e+39,0.427186
10238,3.71854e+39,0.427179
