x,y,z
9285.67,4.69531e+39,0.415672
9287.72,4.68897e+39,0.41584
9291.03,4.67841e+39,0.416088
9295.03,4.66517e+39,0.416362
9299.03,4.65145e+39,0.416624
9302.34,4.63977e+39,0.416845
9304.39,4.63241e+39,0.416988
9305.43,4.62863e+39,0.417064
9307.62,4.62058e+39,0.417231
9311.17,4.60734e+39,0.417517
9315.47,4.59103e+39,0.417884
9319.76,4.57444e+39,0.418263
9323.31,4.56053e+39,0.418578
9325.5,4.55187e+39,0.418771
9326.58,4.54761e+39,0.418865
9328.77,4.53889e+39,0.419054
9332.32,4.52473e+39,0.419355
9336.61,4.50756e+39,0.41972
9340.9,4.49037e+39,0.420093
9344.45,4.47619e+39,0.420416
9346.64,4.46745e+39,0.420623
9347.72,4.46317e+39,0.420728
9349.91,4.45447e+39,0.420948
9353.46,4.4405e+39,0.421317
9357.76,4.4238e+39,0.421782
9362.05,4.40736e+39,0.422261
9365.6,4.394e+39,0.422662
9367.79,4.38587e+39,0.42291
9368.87,4.38191e+39,0.423031
9371.06,4.37394e+39,0.423276
9374.61,4.36128e+39,0.42366
9378.9,4.34642e+39,0.424084
9383.19,4.3321e+39,0.424442
9386.74,4.32069e+39,0.42467
9388.93,4.31386e+39,0.424773
9390.01,4.31057e+39,0.424811
9392.2,4.304e+39,0.424865
9395.75,4.29376e+39,0.424877
9400.05,4.28208e+39,0.424761
9404.34,4.27121e+39,0.424496
9407.89,4.26287e+39,0.424157
9410.08,4.25803e+39,0.42389
9411.13,4.25579e+39,0.423747
9413.23,4.25151e+39,0.423433
9416.62,4.24508e+39,0.422855
9420.72,4.23817e+39,0.422069
9424.82,4.23225e+39,0.421226
9428.21,4.22812e+39,0.420514
9430.31,4.22594e+39,0.420079
9430.84,4.22543e+39,0.419968
9430.94,4.22534e+39,0.419948
9431.1,4.22519e+39,0.419916
9431.29,4.22502e+39,0.419877
9431.48,4.22484e+39,0.419838
9431.64,4.2247e+39,0.419806
9431.74,4.22462e+39,0.419786
9432.3,4.22413e+39,0.419673
9434.49,4.22244e+39,0.419241
9438.04,4.22033e+39,0.418582
9442.33,4.2188e+39,0.417865
9446.63,4.21831e+39,0.417257
9450.18,4.21865e+39,0.41685
9452.37,4.21919e+39,0.416648
9453.45,4.21954e+39,0.416564
9455.64,4.22042e+39,0.416424
9459.19,4.22232e+39,0.416293
9463.48,4.22536e+39,0.416306
9467.77,4.22914e+39,0.41652
9471.32,4.23278e+39,0.416863
9473.51,4.23526e+39,0.417155
9474.59,4.23653e+39,0.417321
9476.78,4.23924e+39,0.417705
9480.33,4.24392e+39,0.418433
9484.62,4.25004e+39,0.41944
9488.92,4.25661e+39,0.42052
9492.47,4.26234e+39,0.421419
9494.66,4.266e+39,0.421958
9495.74,4.26782e+39,0.422215
9497.93,4.27159e+39,0.422718
9501.48,4.27783e+39,0.423473
9505.77,4.28556e+39,0.424281
9510.06,4.29343e+39,0.424966
9513.61,4.30001e+39,0.425431
9515.8,4.30409e+39,0.425671
9516.88,4.30609e+39,0.425775
9519.07,4.31017e+39,0.425957
9522.62,4.31674e+39,0.426167
9526.91,4.32459e+39,0.426276
9531.2,4.33229e+39,0.426221
9534.75,4.33849e+39,0.426047
9536.94,4.34224e+39,0.42588
9538.02,4.34405e+39,0.42578
9540.21,4.34768e+39,0.425546
9543.76,4.35336e+39,0.425092
9548.06,4.35986e+39,0.424468
9552.35,4.36591e+39,0.423822
9555.9,4.37052e+39,0.423316
9558.09,4.37318e+39,0.423033
9559.08,4.37433e+39,0.422915
9560.94,4.37639e+39,0.422715
9563.93,4.37947e+39,0.42244
9567.55,4.38274e+39,0.42218
9571.17,4.3855e+39,0.421992
9574.16,4.38735e+39,0.421884
9576.02,4.3883e+39,0.421835
9576.55,4.38855e+39,0.421823
9576.9,4.3887e+39,0.421816
9577.45,4.38893e+39,0.421806
9578.12,4.38919e+39,0.421794
9578.79,4.38943e+39,0.421785
9579.34,4.38961e+39,0.421777
9579.69,4.38971e+39,0.421774
9580.31,4.38989e+39,0.421767
9582.5,4.39038e+39,0.421754
9586.05,4.39074e+39,0.421761
9590.35,4.39046e+39,0.421815
9594.64,4.38945e+39,0.421918
9598.19,4.38809e+39,0.422041
9600.38,4.38702e+39,0.422132
9601.46,4.38643e+39,0.422182
9603.65,4.38512e+39,0.42229
9607.2,4.38265e+39,0.422481
9611.49,4.37914e+39,0.422715
9615.78,4.3751e+39,0.422929
9619.33,4.37137e+39,0.423072
9621.52,4.36891e+39,0.423137
9622.6,4.36766e+39,0.423161
9624.79,4.36502e+39,0.423194
9628.34,4.36052e+39,0.423206
9632.63,4.35474e+39,0.423166
9636.93,4.34861e+39,0.423084
9640.48,4.34331e+39,0.422996
9642.67,4.33993e+39,0.422939
9643.75,4.33825e+39,0.42291
9645.94,4.33478e+39,0.422854
9649.49,4.32905e+39,0.422769
9653.78,4.32195e+39,0.422689
9658.07,4.3147e+39,0.422646
9661.62,4.30861e+39,0.422649
9663.81,4.30482e+39,0.422672
9664.89,4.30295e+39,0.42269
9667.08,4.29913e+39,0.422741
9670.63,4.29295e+39,0.422864
9674.92,4.28548e+39,0.423079
9679.22,4.27805e+39,0.423368
9682.77,4.27196e+39,0.423665
9684.96,4.26824e+39,0.423874
9686.04,4.26642e+39,0.423984
9688.23,4.26275e+39,0.424222
9691.78,4.25691e+39,0.424643
9696.07,4.25003e+39,0.425202
9700.36,4.24338e+39,0.425802
9703.91,4.23809e+39,0.42632
9706.1,4.23493e+39,0.426646
9707.03,4.23361e+39,0.426786
9708.64,4.23137e+39,0.427026
9711.24,4.22785e+39,0.427413
9714.38,4.22379e+39,0.427869
9717.52,4.21994e+39,0.428303
9720.12,4.21693e+39,0.428637
9721.73,4.21516e+39,0.428831
9722.26,4.21458e+39,0.428893
9722.85,4.21395e+39,0.428959
9723.8,4.21296e+39,0.429062
9724.95,4.21179e+39,0.42918
9726.1,4.21065e+39,0.429291
9727.05,4.20974e+39,0.429376
9727.64,4.20918e+39,0.429426
9728.32,4.20855e+39,0.429481
9730.51,4.20658e+39,0.429638
9734.06,4.20364e+39,0.429836
9738.35,4.20045e+39,0.430007
9742.65,4.19765e+39,0.430134
9746.2,4.19561e+39,0.430229
9748.39,4.19446e+39,0.430292
9749.47,4.19393e+39,0.430325
9751.66,4.19292e+39,0.430401
9755.21,4.19144e+39,0.43055
9759.5,4.18993e+39,0.43078
9763.79,4.18869e+39,0.431078
9767.34,4.18784e+39,0.431385
9769.53,4.1874e+39,0.431606
9770.61,4.1872e+39,0.431724
9772.8,4.18684e+39,0.431983
9776.35,4.18637e+39,0.432463
9780.65,4.18595e+39,0.433149
9784.94,4.18569e+39,0.433961
9788.49,4.18557e+39,0.434735
9790.68,4.18554e+39,0.435263
9791.76,4.18553e+39,0.435537
9793.95,4.18554e+39,0.436121
9797.5,4.18558e+39,0.437129
9801.79,4.1857e+39,0.438411
9806.08,4.18585e+39,0.439712
9809.63,4.18598e+39,0.440764
9811.82,4.18607e+39,0.44139
9812.9,4.18611e+39,0.441687
9815.09,4.18618e+39,0.442271
9818.64,4.18628e+39,0.443157
9822.94,4.18635e+39,0.44414
9827.23,4.18634e+39,0.445034
9830.78,4.18626e+39,0.445716
9832.97,4.18616e+39,0.446113
9834.05,4.1861e+39,0.446302
9836.24,4.18596e+39,0.446675
9839.79,4.18564e+39,0.447238
9844.08,4.18509e+39,0.447842
9848.37,4.18435e+39,0.448348
9851.92,4.18357e+39,0.448683
9854.11,4.18301e+39,0.448848
